Track Title,Cluster
اه حبايب,1
قلبى الشوق,3
ادى اللى كانوا,1
قلب العاشق دليله,1
الفرقه صعبه,1
الله كريم,1
انا اسف,0
انا راضى بالسهر,3
اصعب فراق,1
قول الكلمتين,3
بنفكر بالناس,1
بإسم الحب الجميل,1
بيحسدونى,2
بيتكلم عليا,1
دول مش حبايب,1
العاشق مننا,1
الايام دى صعبه شويه,1
الدهب حبيبى,1
الهوى سلطان,0
الكلمه الطيبه,1
الصبر طيب,1
الزمن دوار,1
ارضى بالنصيب,0
اتاخرت كتير,2
غدر ناس,3
حبيت ارمى الشبك,1
حبيبى والزمن,3
حد ينسى قلبه,3
حال الجريح,1
حنينك حنينى,0
حلف القمر,1
هى الايام,3
انت غيرهم,3
اسكت,1
خدنى الحنين,1
كلامك حبيبى,3
كلام الناس,1
كده كفايه,1
خسرت الناس,3
يوم,3
كلنا مجاريح,1
ليل العاشقين,1
ليله وداعنا حبيبى,1
تروح,3
عاشق,1
لعبه نظر,1
لعب الهوى,1
ليه تهربى,2
للهوى احكام,3
لسه الدنيا بخير,1
ماعرفش,1
ملكه جمال الروح,3
تقولو ليه,1
بستنى باليوم واليومين,0
مستنى منى ايه,3
ورايح,3
نجم عالى,1
نص عمرى,1
عشاق اخر زمن,1
رقصه اسبانى,1
روحوله وإسالوه,3
روحى نسمه,1
7 صاحى الليل,1
صابر وراضى,3
سلف ودين,3
صياد الطيور,1
سيبهم,1
سهرت الليل,3
سكت الكلام,1
شكرا,3
الدنيا,3
طبيب جراح,2
تخسر رهانك,3
ياه عالزمن,1
نجوم الليل,1
يوم الوادع,1
زمن العجايب,1
ذكريات,1
